Rank,Name,State,Type,Admit,Grad4,Cost,NeedAid,NonNeedAid,NNApercent,GradDebt,Salary,Year
66,"Mount Holyoke College, South Hadley",MA,Liberal Arts,55,73,56896,30622,16888,41,23327,43403,2020
67,"Bucknell University, Lewisburg",PA,Liberal Arts,30,81,62585,23905,13808,15,22735,69299,2020
68,"Oberlin College, Oberlin",OH,Liberal Arts,32,74,65161,32355,13167,67,24564,37624,2020
69,"University of California, Berkeley, Berkeley",CA,Public,18,77,54616,22100,5925,4,18289,62264,2020
70,"Lehigh University, Bethlehem",PA,Private,32,75,60309,33033,12424,9,32186,76726,2021
71,"College of William and Mary, Williamsburg",VA,Public,34,84,53440,13959,6673,7,26341,56434,2021
72,"Skidmore College, Saratoga Springs",NY,Liberal Arts,39,90,62693,38495,12000,1,22609,43656,2020
73,"Denison University, Granville",OH,Liberal Arts,50,75,58938,34171,18537,92,27091,48022,2020
74,"University of Wisconsin — Madison, Madison",WI,Public,49,52,38706,9877,3876,9,26337,51716,2020
75,"North Carolina State University, Raleigh",NC,Public,53,48,37269,10080,6531,6,20341,48102,2021
76,"University of California, Los Angeles, Los Angeles",CA,Public,18,70,53577,18863,4539,6,20672,59497,2021
77,"University of Maryland, College Park, College Park",MD,Public,48,69,43074,8744,6657,19,24996,58773,2021
78,"Kalamazoo College, Kalamazoo",MI,Liberal Arts,71,77,52629,27008,16358,85,28441,50261,2021
79,"Wake Forest University, Winston-Salem",NC,Private,36,78,62073,35644,16055,10,34324,60105,2020
80,"Ohio State University, Columbus",OH,Public,55,66,40240,9254,6418,29,26519,43548,2021
81,"State University of New York College at Geneseo, Geneseo",NY,Public,60,65,30071,5752,2790,20,23515,46984,2021
82,"Franklin & Marshall College, Lancaster",PA,Liberal Arts,40,78,63597,39589,12636,3,27313,55485,2021
83,"University of Michigan, Ann Arbor",MI,Public,30,73,53875,14997,7536,25,26914,57258,2020
84,"Florida State University, Tallahassee",FL,Public,55,62,32792,4854,2282,10,24046,44298,2020
85,"Binghamton University, State University of New York, Vestal",NY,Public,46,64,36540,8104,7237,5,25918,58865,2021
86,"Bryn Mawr College, Bryn Mawr",PA,Liberal Arts,42,78,62645,36339,10833,10,24653,51250,2021
87,"Gustavus Adolphus College, St. Peter",MN,Liberal Arts,63,79,52288,26394,16668,100,37188,50216,2021
88,"Trinity University, San Antonio",TX,Private,48,70,50484,25794,16583,81,35762,53840,2021
89,"DePauw University, Greencastle",IN,Liberal Arts,63,71,57222,30910,16764,91,26541,47867,2020
90,"University of Southern California, Los Angeles",CA,Private,16,78,66018,30691,19014,27,27976,67002,2020
91,"University of Illinois at UrbanaChampaign, Champaign",IL,Public,61,69,42656,13525,4736,19,23654,55790,2021
92,"University of Georgia, Athens",GA,Public,54,59,41007,8661,2161,11,21983,45824,2021
93,"Berea College, Berea",KY,Liberal Arts,35,42,7209,3864,0,0,6643,33489,2021
94,"Clark University, Worcester",MA,Private,54,74,51321,25830,16362,68,25320,43475,2021
95,"New Mexico Institute of Mining and Technology, Socorro",NM,Public,34,21,27385,5437,6651,54,20211,53797,2020
96,"University of Rochester, Rochester",NY,Private,35,69,62983,35029,13617,53,30032,55795,2020
